symbol,arm,long_thr,exit_thr,n_trades,total_return,sharpe,max_dd,pct_time_in_market
FTSE250,structure_long,65.0,35.0,0,0.0,0.0,0.0,0.0
FTSE250,structure_long,65.0,45.0,0,0.0,0.0,0.0,0.0
FTSE250,structure_long,65.0,55.0,0,0.0,0.0,0.0,0.0
FTSE250,structure_long,55.0,35.0,113,-0.3079621901973616,-0.9016734695573423,-0.3216005151054131,0.35233570863024544
FTSE250,structure_long,45.0,35.0,96,0.05342426319799909,0.15489662896542591,-0.07479163453054227,0.384006334125099
FTSE250,structure_long,55.0,45.0,115,-0.2857824336583059,-0.8569433776592944,-0.2931517355855069,0.30482977038796516
FTSE250,momentum_long,45.0,35.0,133,0.1715193476052148,0.4007306271521541,-0.07025450882149065,0.4663499604117181
FTSE250,momentum_long,55.0,45.0,129,0.041416624254362544,0.12453891907941654,-0.07078186214971971,0.4418052256532066
FTSE250,momentum_long,55.0,35.0,117,0.03832446624949526,0.11511403465358129,-0.08563903437678355,0.4588281868566904
FTSE250,momentum_long,65.0,35.0,126,-0.10881263659171692,-0.26079072684590665,-0.15779936837732988,0.46199524940617576
FTSE250,momentum_long,65.0,45.0,132,-0.09893081387010494,-0.23930250297355213,-0.14488039627284732,0.4513064133016627
FTSE250,confidence_long,45.0,35.0,60,0.04026091960527922,0.15783342611705076,-0.07656447459081395,0.2454473475851148
FTSE250,confidence_long,55.0,35.0,67,0.009349201048386657,0.045836080299610546,-0.089879883363148,0.2901821060965954
FTSE250,momentum_long,65.0,55.0,151,-0.08560247673778665,-0.2085603059475426,-0.1259877333732763,0.4160728424386382
FTSE250,confidence_long,55.0,45.0,70,0.011430253868280893,0.052795778080388996,-0.08584346300561008,0.283452098178939
FTSE250,confidence_long,65.0,35.0,82,-0.12884836570702085,-0.4002615446436115,-0.17329726430593673,0.2980997624703088
FTSE250,confidence_long,65.0,45.0,82,-0.12884836570702085,-0.4002615446436115,-0.17329726430593673,0.2980997624703088
FTSE250,vol_long_dir,45.0,35.0,32,0.03835488164621759,0.19314208741323172,-0.06452942756481428,0.13895486935866982
FTSE250,confidence_long,65.0,55.0,86,-0.12190261910629774,-0.38758789375209723,-0.1705412923353843,0.2889944576405384
FTSE250,vol_long_dir,55.0,35.0,56,-0.017385942305308655,-0.04739939504879602,-0.11338349546868853,0.20783847980997625
FTSE250,vol_long_dir,55.0,45.0,56,-0.017385942305308655,-0.04739939504879602,-0.11338349546868853,0.20783847980997625
FTSE250,vol_long_dir,65.0,35.0,56,-0.017385942305308655,-0.04739939504879602,-0.11338349546868853,0.20783847980997625
FTSE250,vol_long_inv,-35.0,-45.0,32,-0.013261491165939887,-0.07863271231261222,-0.061465680474695694,0.017814726840855107
FTSE250,vol_long_inv,-35.0,-55.0,32,-0.014066857601211624,-0.08222646768564974,-0.06885791890778015,0.020190023752969122
FTSE250,vol_long_inv,-45.0,-55.0,32,-0.014066857601211624,-0.08222646768564974,-0.06885791890778015,0.020190023752969122
FTSE250,vol_long_inv,-35.0,-65.0,32,-0.014066857601211624,-0.08222646768564974,-0.06885791890778015,0.020190023752969122
FTSE250,vol_long_dir,65.0,45.0,56,-0.017385942305308655,-0.04739939504879602,-0.11338349546868853,0.20783847980997625
FTSE250,risk_long_dir,45.0,35.0,0,0.0,0.0,0.0,0.0
FTSE250,vol_long_inv,-45.0,-65.0,32,-0.014066857601211624,-0.08222646768564974,-0.06885791890778015,0.020190023752969122
FTSE250,risk_long_dir,55.0,45.0,0,0.0,0.0,0.0,0.0
FTSE250,risk_long_dir,55.0,35.0,0,0.0,0.0,0.0,0.0
FTSE250,risk_long_dir,65.0,35.0,0,0.0,0.0,0.0,0.0
FTSE250,risk_long_dir,65.0,45.0,0,0.0,0.0,0.0,0.0
FTSE250,vol_long_inv,-55.0,-65.0,33,-0.068554032789234,-0.4455499426888864,-0.0856868451545455,0.018606492478226443
FTSE250,risk_long_dir,65.0,55.0,0,0.0,0.0,0.0,0.0
FTSE250,vol_long_dir,65.0,55.0,57,-0.01689686035537563,-0.04613597507702596,-0.11338349546868864,0.2034837688044339
FTSE250,risk_long_inv,-45.0,-55.0,1,0.007728597414084382,0.3518385952963084,-0.005274012857108934,0.017022961203483768
FTSE250,risk_long_inv,-45.0,-65.0,1,0.007728597414084382,0.3518385952963084,-0.005274012857108934,0.017022961203483768
