arm,long_thr,exit_thr,symbol,window,n_trades,total_return,sharpe,max_dd
structure_long,50.0,40.0,IBEX35,3,51,-0.14089763118827703,-0.8756643670965606,-0.14984071632369356
structure_long,50.0,40.0,UK100_ETF,0,25,-0.10276428349026667,-1.3817064022288381,-0.13189253929192202
structure_long,50.0,40.0,UK100_ETF,1,25,-0.08731824668512378,-1.3357127303178997,-0.09656830646417924
structure_long,50.0,40.0,UK100_ETF,2,22,-0.12693198807876138,-1.537899392112481,-0.14162672603710125
structure_long,50.0,40.0,FTSE250,3,44,-0.15428587023328677,-1.0693238949748338,-0.1663620148577858
structure_long,60.0,30.0,UK100,0,26,-0.1328518023752524,-1.808662843270492,-0.14926541656345838
structure_long,60.0,30.0,UK100,1,23,-0.03074667049916857,-0.36746887783390536,-0.0440393482179966
structure_long,60.0,30.0,UK100,2,21,-0.09823374689388198,-1.2881729059619453,-0.09950816671492457
structure_long,50.0,40.0,UK100_ETF,3,42,-0.05228169655290826,-0.38803382549121135,-0.0725241699029544
structure_long,60.0,30.0,DAX40,0,23,-0.015177309094461466,-0.16297651764652973,-0.06547027979829723
structure_long,60.0,30.0,DAX40,1,20,0.00404675057632331,0.07009023965113913,-0.04566682852950288
structure_long,60.0,30.0,DAX40,2,22,-0.12145724986988993,-1.5504441229220425,-0.12145951581141912
structure_long,60.0,30.0,CAC40,1,18,-0.0898223544237291,-1.268314223871997,-0.09084042251325541
structure_long,60.0,30.0,CAC40,0,17,-0.02883386086123607,-0.40108503347905805,-0.0702094529462125
structure_long,60.0,30.0,UK100,3,50,-0.04028549906794998,-0.21634750977912728,-0.09627629691822281
structure_long,60.0,30.0,CAC40,2,22,-0.08071302500849364,-1.2136429672369957,-0.08656318733722224
structure_long,60.0,30.0,DAX40,3,41,-0.02393041729856593,-0.12991041442362272,-0.08677923657172026
structure_long,60.0,30.0,IBEX35,0,20,-0.0920190035814279,-1.4392784003146673,-0.11562859798640857
structure_long,60.0,30.0,IBEX35,1,22,-0.08642749650216297,-1.334289994229101,-0.08750042452941509
structure_long,60.0,30.0,IBEX35,2,24,-0.14500880390879667,-2.0352998883105884,-0.14692781798146715
structure_long,60.0,30.0,CAC40,3,43,-0.12409195718540034,-0.8084769958044383,-0.1736264206841226
structure_long,60.0,30.0,FTSE250,0,23,-0.03100106699088956,-0.355451226760574,-0.06086044294184356
structure_long,60.0,30.0,FTSE250,1,23,-0.02501543118013272,-0.2917272838303096,-0.05082150882518821
structure_long,60.0,30.0,FTSE250,2,23,-0.12063009544721803,-1.6022885602366697,-0.1235871349140858
structure_long,60.0,30.0,IBEX35,3,49,-0.11037302150113393,-0.6407626888382683,-0.1538103931286895
structure_long,60.0,30.0,UK100_ETF,0,24,-0.11460395117540245,-1.4923929722365716,-0.1347827714472204
structure_long,60.0,30.0,UK100_ETF,1,23,-0.031923358407025315,-0.39019500789362277,-0.0449997316273435
structure_long,60.0,30.0,UK100_ETF,2,22,-0.1254634152822327,-1.5010370851325692,-0.14018287100840177
structure_long,60.0,30.0,FTSE250,3,43,-0.15640156433172392,-1.065758088436857,-0.16844749847845675
structure_long,60.0,40.0,UK100,0,26,-0.10839143488267566,-1.6434802188706703,-0.12554516311232744
